GuysAccession	ApprovedSymbol	GuysAccessionVersion
NM_001308093	GATA4	0
NM_005257	GATA6	0
NM_001130009	GEN1	0
NM_024052	GID4	0
NM_005269	GLI1	0
NM_002067	GNA11	0
NM_006572	GNA13	0
NM_002072	GNAQ	0
NM_000516	GNAS	0
NM_004489	GPS2	0
NM_013372	GREM1	0
NM_001134407	GRIN2A	0
NM_000840	GRM3	0
NM_001146156	GSK3B	0
NM_000601	HGF	0
NM_002116	HLA-A	0
NM_005514	HLA-B	0
NM_002117	HLA-C	0
NM_000545	HNF1A	0
NM_031263	HNRNPK	0
NM_006361	HOXB13	0
NM_005343	HRAS	0
NM_000862	HSD3B1	0
NM_005348	HSP90AA1	0
NM_015259	ICOSLG	0
NM_002167	ID3	0
NM_005896	IDH1	0
NM_002168	IDH2	0
NM_000416	IFNGR1	0
NM_000618	IGF1	0
NM_000875	IGF1R	0
NM_000612	IGF2	0
NM_014002	IKBKE	0
NM_006060	IKZF1	0
NM_000572	IL10	0
NM_002185	IL7R	0
NM_002191	INHA	0
NM_002192	INHBA	0
NM_001134225	INPP4A	0
NM_001101669	INPP4B	0
NM_000208	INSR	0
NM_002199	IRF2	0
NM_002460	IRF4	0
NM_005544	IRS1	0
NM_003749	IRS2	0
NM_002227	JAK1	0
NM_004972	JAK2	0
NM_000215	JAK3	0
NM_002228	JUN	0
NM_006766	KAT6A	0
NM_001042603	KDM5A	0
NM_004187	KDM5C	0
NM_001291415	KDM6A	0
NM_002253	KDR	0
NM_203500	KEAP1	0
NM_000420	KEL	0
NM_004521	KIF5B	0
NM_000222	KIT	0
NM_004235	KLF4	0
NM_130446	KLHL6	0
NM_014727	KMT2B	0
NM_170606	KMT2C	0
NM_003482	KMT2D	0
NM_004985	KRAS	0
NM_005561	LAMP1	0
NM_004690	LATS1	0
NM_014572	LATS2	0
NM_002315	LMO1	0
NM_018557	LRP1B	0
NM_002350	LYN	0
NM_006767	LZTR1	0
NM_012301	MAGI2	0
NM_006785	MALT1	0
NM_002755	MAP2K1	0
NM_030662	MAP2K2	0
NM_003010	MAP2K4	0
NM_005921	MAP3K1	0
NM_004721	MAP3K13	0
NM_003954	MAP3K14	0
NM_005922	MAP3K4	0
NM_002745	MAPK1	0
NM_002746	MAPK3	0
NM_002382	MAX	0
NM_021960	MCL1	0
NM_014641	MDC1	0
NM_002392	MDM2	0
NM_002393	MDM4	0
NM_005120	MED12	0
NM_001145785	MEF2B	0
NM_001370259	MEN1	0
NM_000245	MET	0
NM_001354604	MITF	0
NM_000249	MLH1	0
NM_004529	MLLT3	0
NM_005373	MPL	0
NM_000251	MSH2	0
NM_002439	MSH3	0
NM_000179	MSH6	0
NM_020998	MST1	0
NM_002447	MST1R	0
NM_004958	MTOR	0
NM_001048174	MUTYH	0
NM_001130173	MYB	0
NM_002467	MYC	0
NM_005378	MYCN	0
NM_002468	MYD88	0
NM_002478	MYOD1	0
NM_005967	NAB2	0
NM_002485	NBN	0
NM_181659	NCOA3	0
NM_006311	NCOR1	0
NM_173808	NEGR1	0
NM_001042492	NF1	0
NM_000268	NF2	0
NM_006164	NFE2L2	0
NM_020529	NFKBIA	0
NM_001079668	NKX2-1	0
NM_006167	NKX3-1	0
NM_017617	NOTCH1	0
NM_024408	NOTCH2	0
NM_000435	NOTCH3	0
NM_004557	NOTCH4	0
NM_002520	NPM1	0
NM_002524	NRAS	0
NM_013964	NRG1	0
NM_022455	NSD1	0
NM_002529	NTRK1	0
NM_006180	NTRK2	0
NM_001012338	NTRK3	0
NM_014669	NUP93	0
NM_001284292	NUTM1	0
NM_002576	PAK1	0
NM_002578	PAK3	0
NM_024675	PALB2	0
NM_001618	PARP1	0
NM_181458	PAX3	0
NM_016734	PAX5	0
NM_001135254	PAX7	0
NM_003466	PAX8	0
NM_005018	PDCD1	0
NM_025239	PDCD1LG2	0
NM_006206	PDGFRA	0
NM_002609	PDGFRB	0
NM_002610	PDK1	0
NM_002613	PDPK1	0
NM_000926	PGR	0
NM_001015877	PHF6	0
NM_003924	PHOX2B	0
NM_001377334	PIK3C2B	0
NM_001288772	PIK3C2G	0
NM_002647	PIK3C3	0
NM_006218	PIK3CA	0
NM_006219	PIK3CB	0
NM_005026	PIK3CD	0
NM_001282426	PIK3CG	0
NM_181523	PIK3R1	0
NM_005027	PIK3R2	0
NM_003629	PIK3R3	0
NM_002648	PIM1	0
NM_002661	PLCG2	0
NM_006622	PLK2	0
NM_021127	PMAIP1	0
NM_000534	PMS1	0
NM_000535	PMS2	0
NM_006813	PNRC1	0
NM_002691	POLD1	0
NM_006231	POLE	0
NM_138711	PPARG	0
NM_003620	PPM1D	0
NM_014225	PPP2R1A	0
NM_002717	PPP2R2A	0
NM_002721	PPP6C	0
NM_001198	PRDM1	0
NM_024870	PREX2	0
NM_002734	PRKAR1A	0
NM_002740	PRKCI	0
NM_006904	PRKDC	0
NM_002773	PRSS8	0
NM_000264	PTCH1	0
NM_000314	PTEN	0
NM_002834	PTPN11	0
NM_002839	PTPRD	0
NM_002850	PTPRS	0
NM_007050	PTPRT	0
NM_006775	QKI	0
NM_006861	RAB35	0
NM_006908	RAC1	0
NM_006265	RAD21	0
NM_005732	RAD50	0
NM_002875	RAD51	0
NM_133510	RAD51B	0
NM_058216	RAD51C	0
NM_002878	RAD51D	0
NM_134424	RAD52	0
NM_003579	RAD54L	0
NM_002880	RAF1	0
NM_006267	RANBP2	0
NM_000964	RARA	0
NM_002890	RASA1	0
NM_000321	RB1	0
NM_005676	RBM10	0
NM_004260	RECQL4	0
NM_001291746	REL	0
NM_020975	RET	0
NM_005614	RHEB	0
NM_001664	RHOA	0
NM_152756	RICTOR	0
NM_006912	RIT1	0
NM_017763	RNF43	0
NM_001378902	ROS1	0
NM_003942	RPS6KA4	0
NM_003161	RPS6KB1	0
NM_003952	RPS6KB2	0
NM_020761	RPTOR	0
NM_001754	RUNX1	0
NM_004168	SDHA	0
NM_017841	SDHAF2	0
NM_003000	SDHB	0
NM_003001	SDHC	0
NM_003002	SDHD	0
NM_015559	SETBP1	0
NM_014159	SETD2	0
NM_012433	SF3B1	0
NM_005475	SH2B3	0
NM_002351	SH2D1A	0
NM_018130	SHQ1	0
NM_004787	SLIT2	0
NM_032444	SLX4	0
NM_005901	SMAD2	0
NM_005902	SMAD3	0
NM_005359	SMAD4	0
NM_003072	SMARCA4	0
NM_003073	SMARCB1	0
NM_003076	SMARCD1	0
NM_006306	SMC1A	0
NM_005445	SMC3	0
NM_005631	SMO	0
NM_005460	SNCAIP	0
NM_003745	SOCS1	0
NM_006941	SOX10	0
NM_022454	SOX17	0
NM_003106	SOX2	0
NM_000346	SOX9	0
NM_015001	SPEN	0
NM_001007228	SPOP	0
NM_003126	SPTA1	0
NM_198291	SRC	0
NM_001195427	SRSF2	0
NM_005862	STAG1	0
NM_001042750	STAG2	0
NM_139276	STAT3	0
NM_003151	STAT4	0
NM_001288718	STAT5A	0
NM_012448	STAT5B	0
NM_000455	STK11	0
NM_001282547	STK40	0
NM_016169	SUFU	0
NM_015355	SUZ12	0
NM_003177	SYK	0
NM_004606	TAF1	0
NM_005996	TBX3	0
NM_003200	TCF3	0
NM_001367943	TCF7L2	0
NM_198253	TERT	0
NM_030625	TET1	0
NM_001127208	TET2	0
NM_006521	TFE3	0
NM_001128148	TFRC	0
NM_004612	TGFBR1	0
NM_003242	TGFBR2	0
NM_017849	TMEM127	0
NM_005656	TMPRSS2	0
NM_001270508	TNFAIP3	0
NM_003820	TNFRSF14	0
NM_003286	TOP1	0
NM_001067	TOP2A	0
NM_000546	TP53	0
NM_003722	TP63	0
NM_021138	TRAF2	0
NM_032271	TRAF7	0
NM_000368	TSC1	0
NM_000548	TSC2	0
NM_000369	TSHR	0
NM_006758	U2AF1	0
NM_003376	VEGFA	0
NM_000551	VHL	0
NM_024626	VTCN1	0
NM_024426	WT1	0
NM_001167	XIAP	0
NM_003400	XPO1	0
NM_005431	XRCC2	0
NM_001130145	YAP1	0
NM_005433	YES1	0
NM_020861	ZBTB2	0
NM_015898	ZBTB7A	0
NM_006885	ZFHX3	0
NM_006526	ZNF217	0
NM_025069	ZNF703	0
NM_005089	ZRSR2	0
NM_032777	ADGRA2	0
NM_152424	AMER1	0
NM_198239	CCN6	0
NM_022457	COP1	0
NM_005648	ELOC	0
NM_001300942	EMSY	0
NM_139076	ABRAXAS1	0
NM_005319	H1-2	0
NM_021063	H2BC5	0
NM_002107	H3-3A	0
NM_005324	H3-3B	0
NM_003493	H3-4	0
NM_001013699	H3-5	0
NM_003529	H3C1	0
NM_003536	H3C10	0
NM_003533	H3C11	0
NM_003535	H3C12	0
NM_001123375	H3C13	0
NM_003537	H3C2	0
NM_003531	H3C3	0
NM_001376937	H3C4	0
NM_003532	H3C6	0
NM_021018	H3C7	0
NM_003534	H3C8	0
NM_001197104	KMT2A	0
NM_005591	MRE11	0
NM_001033081	MYCL	0
NM_177990	PAK5	0
NM_004562	PRKN	0
NM_017709	TENT5C	0
NM_012234	RYBP	0
NM_018313	PBRM1	0
NM_001164273	MGA	0
