GuysAccession	Symbol	GuysAccessionVersion
NM_004056	CA8	0
NM_001127221	CACNA1A	0
NM_018896	CACNA1G	0
NM_000069	CACNA1S	0
NM_000726	CACNB4	0
NM_005186	CAPN1	0
NM_000070	CAPN3	0
NM_001231	CASQ1	0
NM_033337	CAV3	0
NM_001031737	CCDC78	0
NM_001080414	CCDC88C	0
NM_001761	CCNF	0
NM_203330	CD59	0
NM_001791	CDC42	0
NM_000077	CDKN2A	0
NM_138638	CFL2	0
NM_213720	CHCHD10	0
NM_016139	CHCHD2	0
NM_005198	CHKB	0
NM_014043	CHMP2B	0
NM_130468	CHST14	0
NM_012127	CIZ1	0
NM_004366	CLCN2	0
NM_000086	CLN3	0
NM_006493	CLN5	0
NM_017882	CLN6	0
NM_018941	CLN8	0
NM_001258392	CLPB	0
NM_001843	CNTN1	0
NM_003632	CNTNAP1	0
NM_023077	COA7	0
NM_025233	COASY	0
NM_004370	COL12A1	0
NM_000088	COL1A1	0
NM_000090	COL3A1	0
NM_001845	COL4A1	0
NM_001846	COL4A2	0
NM_000093	COL5A1	0
NM_000393	COL5A2	0
NM_001848	COL6A1	0
NM_001849	COL6A2	0
NM_004369	COL6A3	0
NM_015697	COQ2	0
NM_001303	COX10	0
NM_078470	COX15	0
NM_004373	COX6A1	0
NM_000096	CP	0
NM_000097	CPOX	0
NM_152359	CPT1C	0
NM_000098	CPT2	0
NM_001885	CRYAB	0
NM_005211	CSF1R	0
NM_139062	CSNK1D	0
NM_000100	CSTB	0
NM_025099	CTC1	0
NM_004715	CTDP1	0
NM_000308	CTSA	0
NM_001909	CTSD	0
NM_003793	CTSF	0
NM_018294	CWF19L1	0
NM_018947	CYCS	0
NM_000784	CYP27A1	0
NM_183075	CYP2U1	0
NM_004820	CYP7B1	0
NM_001165928	DAG1	0
NM_001917	DAO	0
NM_001349	DARS1	0
NM_018122	DARS2	0
NM_025000	DCAF17	0
NM_004082	DCTN1	0
NM_001923	DDB1	0
NM_000107	DDB2	0
NM_001082971	DDC	0
NM_001160147	DDHD1	0
NM_015214	DDHD2	0
NM_003676	DEGS1	0
NM_001927	DES	0
NM_080916	DGUOK	0
NM_005219	DIAPH1	0
NM_001931	DLAT	0
NM_000108	DLD	0
NM_004006	DMD	0
NM_004409	DMPK	0
NM_001039550	DNAJB2	0
NM_058246	DNAJB6	0
NM_021800	DNAJC12	0
NM_015268	DNAJC13	0
NM_006260	DNAJC3	0
NM_025219	DNAJC5	0
NM_001256864	DNAJC6	0
NM_001005360	DNM2	0
NM_001130823	DNMT1	0
NM_173660	DOK7	0
NM_014908	DOLK	0
NM_003859	DPM1	0
NM_003863	DPM2	0
NM_153741	DPM3	0
NM_001939	DRP2	0
NM_001723	DST	0
NM_015375	DSTYK	0
NM_032122	DTNBP1	0
NM_001376	DYNC1H1	0
NM_001396	DYRK1A	0
NM_003494	DYSF	0
NM_001083614	EARS2	0
NM_004826	ECEL1	0
NM_004092	ECHS1	0
NM_000399	EGR2	0
NM_001414	EIF2B1	0
NM_014239	EIF2B2	0
NM_020365	EIF2B3	0
NM_001034116	EIF2B4	0
NM_003907	EIF2B5	0
NM_182917	EIF4G1	0
NM_022726	ELOVL4	0
NM_003640	ELP1	0
NM_000117	EMD	0
NM_000118	ENG	0
NM_001776	ENTPD1	0
NM_020964	EPG5	0
NM_004442	EPHB2	0
NM_005670	EPM2A	0
NM_005235	ERBB4	0
NM_001983	ERCC1	0
NM_000400	ERCC2	0
NM_000122	ERCC3	0
NM_005236	ERCC4	0
NM_000123	ERCC5	0
NM_000124	ERCC6	0
NM_000082	ERCC8	0
NM_006459	ERLIN1	0
NM_007175	ERLIN2	0
NM_004453	ETFDH	0
NM_001987	ETV6	0
NM_005243	EWSR1	0
NM_000504	F10	0
NM_000128	F11	0
NM_000505	F12	0
NM_001994	F13B	0
NM_000506	F2	0
NM_001992	F2R	0
NM_001993	F3	0
NM_000131	F7	0
NM_000133	F9	0
NM_024306	FA2H	0
NM_000137	FAH	0
NM_032581	FAM126A	0
NM_000135	FANCA	0
NM_001018113	FANCB	0
NM_000136	FANCC	0
NM_001018115	FANCD2	0
NM_021922	FANCE	0
NM_022725	FANCF	0
NM_004629	FANCG	0
NM_001113378	FANCI	0
NM_001114636	FANCL	0
NM_006567	FARS2	0
NM_006329	FBLN5	0
NM_205836	FBXO38	0
NM_012179	FBXO7	0
NM_178443	FERMT3	0
NM_000508	FGA	0
NM_005141	FGB	0
NM_139241	FGD4	0
NM_004115	FGF14	0
NM_000509	FGG	0
NM_001159699	FHL1	0
NM_014845	FIG4	0
NM_017946	FKBP14	0
NM_024301	FKRP	0
NM_001079802	FKTN	0
NM_001167681	FLI1	0
NM_001110556	FLNA	0
NM_001458	FLNC	0
NM_014053	FLVCR1	0
NM_016729	FOLR1	0
NM_005249	FOXG1	0
NM_017547	FOXRED1	0
NM_000146	FTL	0
NM_004960	FUS	0
NM_000144	FXN	0
NM_005087	FXR1	0
NM_001465	FYB1	0
NM_000152	GAA	0
NM_000817	GAD1	0
NM_000153	GALC	0
NM_000403	GALE	0
NM_022041	GAN	0
NM_002047	GARS1	0
NM_002049	GATA1	0
NM_000157	GBA	0
NM_020944	GBA2	0
NM_000158	GBE1	0
NM_000159	GCDH	0
NM_000161	GCH1	0
NM_018972	GDAP1	0
NM_002055	GFAP	0
NM_004188	GFI1B	0
NM_001103146	GIGYF2	0
NM_000165	GJA1	0
NM_000166	GJB1	0
NM_020435	GJC2	0
NM_000169	GLA	0
NM_000404	GLB1	0
NM_001146040	GLRA1	0
NM_000824	GLRB	0
NM_000405	GM2A	0
NM_013334	GMPPB	0
NM_182978	GNAL	0
NM_020988	GNAO1	0
NM_021629	GNB4	0
NM_001128227	GNE	0
NM_004486	GOLGA2	0
NM_000173	GP1BA	0
NM_000407	GP1BB	0
NM_016363	GP6	0
NM_000174	GP9	0
NM_001510	GRID2	0
NM_001278064	GRM1	0
NM_002087	GRN	0
NM_002095	GTF2E2	0
NM_207118	GTF2H5	0
NM_019096	GTPBP2	0
NM_014241	HACD1	0
NM_020771	HACE1	0
NM_000182	HADHA	0
NM_000183	HADHB	0
NM_002109	HARS1	0
NM_005334	HCFC1	0
NM_152722	HEPACAM	0
NM_000520	HEXA	0
NM_000521	HEXB	0
NM_014362	HIBCH	0
NM_005340	HINT1	0
NM_033500	HK1	0
NM_000190	HMBS	0
NM_000191	HMGCL	0
NM_031157	HNRNPA1	0
NM_002137	HNRNPA2B1	0
NM_031372	HNRNPDL	0
NM_005523	HOXA11	0
NM_002143	HPCA	0
NM_000194	HPRT1	0
NM_000195	HPS1	0
NM_032383	HPS3	0
NM_022081	HPS4	0
NM_181507	HPS5	0
NM_024747	HPS6	0
NM_000412	HRG	0
NM_001540	HSPB1	0
NM_014365	HSPB8	0
NM_002156	HSPD1	0
NM_002775	HTRA1	0
NM_013247	HTRA2	0
NM_018060	IARS2	0
NM_001010867	IBA57	0
NM_022168	IFIH1	0
NM_002180	IGHMBP2	0
NM_022489	INF2	0
NM_016532	INPP5K	0
NM_001101426	CRPPA	0
NM_000419	ITGA2B	0
NM_002206	ITGA7	0
NM_000212	ITGB3	0
NM_021999	ITM2B	0
NM_001168272	ITPR1	0
NM_001101362	KBTBD13	0
NM_000217	KCNA1	0
NM_004974	KCNA2	0
NM_004977	KCNC3	0
NM_004980	KCND3	0
NM_181840	KCNK18	0
NM_001161352	KCNMA1	0
NM_172107	KCNQ2	0
NM_001282684	KCTD17	0
NM_004187	KDM5C	0
NM_002035	KDSR	0
NM_020702	MYORG	0
NM_020738	KIDINS220	0
NM_001244008	KIF1A	0
NM_006612	KIF1C	0
NM_004984	KIF5A	0
NM_152393	KLHL40	0
NM_006063	KLHL41	0
NM_000892	KLKB1	0
NM_014727	KMT2B	0
NM_000893	KNG1	0
NM_178554	KY	0
NM_000425	L1CAM	0
NM_024884	L2HGDH	0
NM_000426	LAMA2	0
NM_002294	LAMP2	0
NM_004737	LARGE1	0
NM_002312	LIG4	0
NM_001136473	LITAF	0
NM_005570	LMAN1	0
NM_170707	LMNA	0
NM_005573	LMNB1	0
NM_198271	LMOD3	0
NM_145693	LPIN1	0
NM_133259	LRPPRC	0
NM_198578	LRRK2	0
NM_138361	LRSAM1	0
NM_000081	LYST	0
NM_006341	MAD2L2	0
NM_002361	MAG	0
NM_016653	MAP3K20	0
NM_016835	MAPT	0
NM_004990	MARS1	0
NM_138395	MARS2	0
NM_199189	MATR3	0
NM_003906	MCM3AP	0
NM_020533	MCOLN1	0
NM_004991	MECOM	0
NM_016011	MECR	0
NM_032446	MEGF10	0
NM_014874	MFN2	0
NM_006077	MICU1	0
NM_020831	MRTFA	0
NM_015506	MMACHC	0
NM_000902	MME	0
NM_206809	MOG	0
NM_001303256	MORC2	0
NM_025260	MPIG6B	0
NM_005373	MPL	0
NM_138701	MPLKIP	0
NM_002437	MPV17	0
NM_000530	MPZ	0
NM_005591	MRE11	0
NM_018116	MSTO1	0
NM_139242	MTFMT	0
NM_005957	MTHFR	0
NM_000252	MTM1	0
NM_001077525	MTMR14	0
NM_016156	MTMR2	0
NM_018109	MTPAP	0
NM_000253	MTTP	0
NM_002465	MYBPC1	0
NM_000256	MYBPC3	0
NM_005593	MYF5	0
NM_001145809	MYH14	0
NM_017534	MYH2	0
NM_002470	MYH3	0
NM_000257	MYH7	0
NM_002472	MYH8	0
NM_002473	MYH9	0
NM_079420	MYL1	0
NM_001080483	MYMK	0
NM_032608	MYO18B	0
NM_006790	MYOT	0
NM_032578	MYPN	0
NM_000262	NAGA	0
NM_015678	NBEA	0
NM_015175	NBEAL2	0
NM_006096	NDRG1	0
NM_004541	NDUFA1	0
NM_004544	NDUFA10	0
NM_024120	NDUFAF5	0
NM_152416	NDUFAF6	0
NM_005006	NDUFS1	0
NM_002495	NDUFS4	0
NM_024407	NDUFS7	0
NM_002496	NDUFS8	0
NM_007103	NDUFV1	0
NM_001271208	NEB	0
NM_021076	NEFH	0
NM_006158	NEFL	0
NM_001199397	NEK1	0
NM_002506	NGF	0
NM_018297	NGLY1	0
NM_024782	NHEJ1	0
NM_198586	NHLRC1	0
NM_144599	NIPA1	0
NM_001079668	NKX2-1	0
NM_177400	NKX6-2	0
NM_006392	NOP56	0
NM_000435	NOTCH3	0
NM_000271	NPC1	0
NM_006432	NPC2	0
NM_006186	NR4A2	0
NM_012229	NT5C2	0
NM_001007792	NTRK1	0
NM_002538	OCLN	0
NM_000276	OCRL	0
NM_015560	OPA1	0
NM_001017989	OPA3	0
NM_001008211	OPTN	0
NM_032790	ORAI1	0
NM_002558	P2RX1	0
NM_022788	P2RY12	0
NM_000277	PAH	0
NM_024675	PALB2	0
NM_153638	PANK2	0
NM_007262	PARK7	0
NM_002584	PAX7	0
NM_000282	PCCA	0
NM_000532	PCCB	0
NM_016580	PCDH12	0
NM_001130690	PDE10A	0
NM_002599	PDE2A	0
NM_002608	PDGFB	0
NM_002609	PDGFRB	0
NM_000284	PDHA1	0
NM_003477	PDHX	0
NM_005391	PDK3	0
NM_024411	PDYN	0
NM_001171155	PET100	0
NM_000466	PEX1	0
NM_153818	PEX10	0
NM_003846	PEX11B	0
NM_000286	PEX12	0
NM_002618	PEX13	0
NM_004565	PEX14	0
NM_057174	PEX16	0
NM_002857	PEX19	0
NM_000318	PEX2	0
NM_017929	PEX26	0
NM_003630	PEX3	0
NM_000319	PEX5	0
NM_000287	PEX6	0
NM_000288	PEX7	0
NM_000289	PFKM	0
NM_005022	PFN1	0
NM_002637	PHKA1	0
NM_006214	PHYH	0
NM_022068	PIEZO2	0
NM_002641	PIGA	0
NM_032409	PINK1	0
NM_024420	PLA2G4A	0
NM_003560	PLA2G6	0
NM_000930	PLAT	0
NM_002658	PLAU	0
NM_000445	PLEC	0
NM_020631	PLEKHG5	0
NM_000301	PLG	0
NM_000533	PLP1	0
NM_000303	PMM2	0
NM_002677	PMP2	0
NM_000304	PMP22	0
NM_015488	PNKD	0
NM_007254	PNKP	0
NM_001166111	PNPLA6	0
NM_152305	POGLUT1	0
NM_002693	POLG	0
NM_006502	POLH	0
NM_203290	POLR1C	0
NM_007055	POLR3A	0
NM_018082	POLR3B	0
NM_001243766	POMGNT1	0
NM_032806	POMGNT2	0
NM_032237	POMK	0
NM_007171	POMT1	0
NM_013382	POMT2	0
NM_176869	PPA2	0
NM_001122764	PPOX	0
NM_181678	PPP2R2B	0
NM_021619	PRDM12	0
NM_002732	PRKACG	0
NM_002739	PRKCG	0
NM_004562	PRKN	0
NM_003690	PRKRA	0
NM_000311	PRNP	0
NM_000312	PROC	0
NM_006404	PROCR	0
NM_001256134	PROZ	0
NM_006262	PRPH	0
NM_002764	PRPS1	0
NM_145239	PRRT2	0
NM_020956	PRX	0
NM_002778	PSAP	0
NM_000021	PSEN1	0
NM_000447	PSEN2	0
NM_000264	PTCH1	0
NM_000314	PTEN	0
NM_000962	PTGS1	0
NM_002834	PTPN11	0
NM_002843	PTPRJ	0
NM_016077	PTRH2	0
NM_000317	PTS	0
NM_005609	PYGM	0
NM_024854	PYROXD1	0
NM_000320	QDPR	0
NM_171998	RAB39B	0
NM_004637	RAB7A	0
NM_058216	RAD51C	0
NM_153819	RASGRP2	0
NM_005105	RBM8A	0
NM_001164730	REEP1	0
NM_016606	REEP2	0
NM_001034850	RETREG1	0
NM_002923	RGS2	0
NM_006397	RNASEH2A	0
NM_001142279	RNASEH2B	0
NM_032193	RNASEH2C	0
NM_003730	RNASET2	0
NM_006978	RNF113A	0
NM_207111	RNF216	0
NM_004586	RPS6KA3	0
NM_005619	RTN2	0
NM_001754	RUNX1	0
NM_000540	RYR1	0
NM_001036	RYR3	0
NM_014363	SACS	0
NM_015474	SAMHD1	0
NM_002972	SBF1	0
NM_030962	SBF2	0
NM_005506	SCARB2	0
NM_006514	SCN10A	0
NM_014139	SCN11A	0
NM_006920	SCN1A	0
NM_000334	SCN4A	0
NM_001330260	SCN8A	0
NM_002977	SCN9A	0
NM_020680	SCYL1	0
NM_020451	SELENON	0
NM_001113491	SEPTIN9	0
NM_032861	SERAC1	0
NM_000488	SERPINC1	0
NM_000185	SERPIND1	0
NM_000602	SERPINE1	0
NM_000934	SERPINF2	0
NM_015046	SETX	0
NM_000023	SGCA	0
NM_000232	SGCB	0
NM_000337	SGCD	0
NM_003919	SGCE	0
NM_000231	SGCG	0
NM_024577	SH3TC2	0
NM_005866	SIGMAR1	0
NM_022464	SIL1	0
NM_005135	SLC12A6	0
NM_006517	SLC16A2	0
NM_025243	SLC19A3	0
NM_004172	SLC1A3	0
NM_003038	SLC1A4	0
NM_006749	SLC20A2	0
NM_001126121	SLC25A19	0
NM_001151	SLC25A4	0
NM_138773	SLC25A46	0
NM_006516	SLC2A1	0
NM_018713	SLC30A10	0
NM_001128431	SLC39A14	0
NM_016180	SLC45A2	0
NM_024531	SLC52A2	0
NM_033409	SLC52A3	0
NM_021815	SLC5A7	0
NM_001044	SLC6A3	0
NM_004211	SLC6A5	0
NM_005629	SLC6A8	0
NM_001129820	SLFN14	0
NM_032444	SLX4	0
NM_005359	SMAD4	0
NM_015295	SMCHD1	0
NM_000345	SNCA	0
NM_001001502	SNCB	0
NM_153816	SNX14	0
NM_000454	SOD1	0
NM_006941	SOX10	0
NM_015087	SPART	0
NM_014946	SPAST	0
NM_005876	SPEG	0
NM_025137	SPG11	0
NM_016630	SPG21	0
NM_003119	SPG7	0
NM_003124	SPR	0
NM_006415	SPTLC1	0
NM_004863	SPTLC2	0
NM_003900	SQSTM1	0
NM_198291	SRC	0
NM_198935	SS18L1	0
NM_145064	STAC3	0
NM_003156	STIM1	0
NM_005861	STUB1	0
NM_006949	STXBP2	0
NM_003850	SUCLA2	0
NM_000456	SUOX	0
NM_003172	SURF1	0
NM_182961	SYNE1	0
NM_182914	SYNE2	0
NM_003895	SYNJ1	0
NM_004606	TAF1	0
NM_007375	TARDBP	0
NM_152295	TARS1	0
NM_013254	TBK1	0
NM_001060	TBXA2R	0
NM_001130966	TBXAS1	0
NM_003673	TCAP	0
NM_014844	TECPR2	0
NM_006070	TFG	0
NM_006287	TFPI	0
NM_198994	TGM6	0
NM_199292	TH	0
NM_018105	THAP1	0
NM_000361	THBD	0
NM_000460	THPO	0
NM_004085	TIMM8A	0
NM_001114748	TMEM240	0
NM_014254	RXYLT1	0
NM_003282	TNNI2	0
NM_003283	TNNT1	0
NM_006757	TNNT3	0
NM_012470	TNPO3	0
NM_001365276	TNXB	0
NM_004618	TOP3A	0
NM_000113	TOR1A	0
NM_022445	TPK1	0
NM_003289	TPM2	0
NM_152263	TPM3	0
NM_003290	TPM4	0
NM_000391	TPP1	0
NM_021942	TRAPPC11	0
NM_006073	TRDN	0
NM_018965	TREM2	0
NM_033629	TREX1	0
NM_015271	TRIM2	0
NM_012210	TRIM32	0
NM_016213	TRIP4	0
NM_007332	TRPA1	0
NM_017672	TRPM7	0
NM_021625	TRPV4	0
NM_173500	TTBK2	0
NM_017775	TTC19	0
NM_001267550	TTN	0
NM_000370	TTPA	0
NM_000371	TTR	0
NM_006000	TUBA4A	0
NM_030773	TUBB1	0
NM_006086	TUBB3	0
NM_006087	TUBB4A	0
NM_021830	TWNK	0
NM_001257988	TYMP	0
NM_003332	TYROBP	0
NM_016525	UBAP1	0
NM_014176	UBE2T	0
NM_013444	UBQLN2	0
NM_004181	UCHL1	0
NM_199242	UNC13D	0
NM_173167	UNC45B	0
NM_020894	UVSSA	0
NM_018052	VAC14	0
NM_014231	VAMP1	0
NM_014232	VAMP2	0
NM_004738	VAPB	0
NM_007126	VCP	0
NM_001193315	VIPAS39	0
NM_024006	VKORC1	0
NM_001017980	VMA21	0
NM_015186	VPS13A	0
NM_020821	VPS13C	0
NM_015378	VPS13D	0
NM_018668	VPS33B	0
NM_018206	VPS35	0
NM_152415	VPS37A	0
NM_003384	VRK1	0
NM_004184	WARS1	0
NM_000377	WAS	0
NM_014846	WASHC5	0
NM_001029896	WDR45	0
NM_019613	WDR45B	0
NM_020839	WDR48	0
NM_032856	WDR73	0
NM_006005	WFS1	0
NM_018979	WNK1	0
NM_016373	WWOX	0
NM_021083	XK	0
NM_000380	XPA	0
NM_004628	XPC	0
NM_004736	XPR1	0
NM_006297	XRCC1	0
NM_022406	XRCC4	0
NM_003680	YARS1	0
NM_003403	YY1	0
NM_015346	ZFYVE26	0
NM_020928	ZSWIM6	0
