#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonSEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
4921	DDR2;NM_006182.4	1	+	162688843	162750046	162688843	162750046	16	162688843,162722874,162724403,162724935,162725443,162729575,162730990,162735780,162737008,162740081,162741803,162743248,162745431,162745915,162748359,162749891	162688945,162722997,162724655,162725103,162725569,162729779,162731254,162735863,162737159,162740312,162742047,162743396,162745643,162746170,162748529,162750046	nan	DDR2	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64326	COP1;NM_022457.7	1	-	175914278	176176124	175914278	176176124	20	175914278,175916320,175956068,175957413,175958487,175996697,176012311,176012835,176015306,176050277,176054901,176085749,176104135,176105613,176118131,176131994,176132940,176145035,176153758,176175697	175914316,175916385,175956249,175957558,175958625,175996834,176012413,176012964,176015470,176050433,176055036,176085827,176104232,176105693,176118220,176132134,176133037,176145153,176153838,176176124	nan	COP1	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27	ABL2;NM_007314.4	1	-	179076842	179198542	179076842	179198542	12	179076842,179079406,179081433,179084002,179086456,179087711,179089314,179090719,179095501,179100435,179102436,179198365	179078586,179079600,179081543,179084175,179086661,179087909,179089419,179091012,179095817,179100626,179102519,179198542	nan	ABL2	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0
79577	CDC73;NM_024529.5	1	+	193091320	193219852	193091320	193219852	17	193091320,193094231,193099293,193104510,193104656,193107204,193110969,193116986,193119423,193121499,193172914,193181184,193181509,193202112,193205375,193218849,193219795	193091471,193094357,193099383,193104593,193104729,193107313,193111206,193117105,193119522,193121584,193172992,193181240,193181617,193202294,193205496,193219011,193219852	nan	CDC73	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5287	PIK3C2B;NM_001377334.1	1	-	204393969	204438940	204393969	204438940	32	204393969,204394730,204396765,204397256,204399038,204400786,204401317,204402433,204402910,204403556,204408052,204409309,204410588,204411643,204412534,204413185,204413448,204415073,204416553,204418302,204418967,204423786,204424973,204426154,204426845,204428995,204429441,204429667,204433129,204433567,204434336,204437987	204394178,204394879,204396892,204397358,204399176,204400931,204401539,204402563,204403087,204403746,204408209,204409459,204410701,204411771,204412735,204413300,204413562,204415282,204416716,204418434,204419155,204423929,204425189,204426208,204427012,204429079,204429541,204429799,204433270,204433742,204434457,204438940	nan	PIK3C2B	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4194	MDM4;NM_002393.5	1	+	204494636	204518820	204494636	204518820	10	204494636,204495477,204499801,204501308,204506547,204507326,204511901,204513652,204515914,204518230	204494734,204495572,204499955,204501384,204506635,204507446,204512082,204513822,204516015,204518820	nan	MDM4	nan	nan	0,0,0,0,0,0,0,0,0,0
9641	IKBKE;NM_014002.4	1	+	206646560	206669488	206646560	206669488	20	206646560,206647663,206648197,206649513,206650010,206651081,206651492,206652275,206653202,206653354,206653779,206658323,206658520,206661240,206664141,206664970,206666345,206666588,206667242,206669434	206646667,206647824,206648347,206649715,206650191,206651212,206651692,206652486,206653287,206653466,206653886,206658419,206658653,206661337,206664201,206665092,206666462,206666721,206667334,206669488	nan	IKBKE	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3586	IL10;NM_000572.3	1	-	206941970	206945790	206941970	206945790	5	206941970,206943163,206944241,206944690,206945605	206942083,206943249,206944414,206944770,206945790	nan	IL10	nan	nan	0,0,0,0,0
3020	H3-3A;NM_002107.7	1	+	226252042	226259190	226252042	226259190	3	226252042,226253346,226259041	226252190,226253520,226259190	nan	H3-3A	nan	nan	0,0,0
142	PARP1;NM_001618.4	1	-	226549150	226595640	226549150	226595640	23	226549150,226549659,226550789,226551633,226552692,226553644,226555170,226555889,226558124,226561916,226564798,226566832,226567263,226567612,226568758,226570726,226573194,226574016,226576346,226578100,226579889,226589904,226595500	226549252,226549794,226550871,226551781,226552865,226553763,226555319,226556032,226558228,226562065,226565014,226566985,226567352,226567875,226568919,226570894,226573391,226574153,226576466,226578335,226580025,226590090,226595640	nan	PARP1	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8290	H3-4;NM_003493.3	1	-	228612605	228613036	228612605	228613036	1	228612605	228613036	nan	H3-4	nan	nan	0
2271	FH;NM_000143.4	1	-	241661117	241683032	241661117	241683032	10	241661117,241663726,241665732,241667331,241669292,241671892,241675256,241676892,241680471,241682880	241661280,241663900,241665880,241667555,241669478,241672095,241675453,241677023,241680626,241683032	nan	FH	nan	nan	0,0,0,0,0,0,0,0,0,0
10000	AKT3;NM_005465.7	1	-	243668540	244006482	243668540	244006482	13	243668540,243675615,243708801,243716020,243727011,243736217,243776962,243778387,243800902,243809184,243828063,243858882,244006416	243668646,243675738,243708909,243716255,243727160,243736360,243777051,243778473,243801054,243809349,243828195,243859028,244006482	nan	AKT3	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0
4613	MYCN;NM_005378.6	2	+	16082176	16086229	16082176	16086229	2	16082176,16085604	16082986,16086229	nan	MYCN	nan	nan	0,0
348654	GEN1;NM_001130009.3	2	+	17941200	17963216	17941200	17963216	13	17941200,17942652,17946153,17947835,17949994,17952452,17953890,17954352,17954475,17955527,17959258,17961234,17961877	17941381,17942859,17946350,17947966,17950088,17952564,17954061,17954409,17954576,17955678,17959340,17961398,17963216	nan	GEN1	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0
1788	DNMT3A;NM_022552.5	2	-	25457137	25536863	25457137	25536863	22	25457137,25458565,25459794,25461988,25463160,25463498,25464420,25466756,25467013,25467398,25468111,25468878,25469018,25469478,25469909,25470449,25470895,25497799,25498358,25505299,25522997,25536771	25457299,25458704,25459884,25462094,25463329,25463609,25464586,25466861,25467217,25467531,25468211,25468943,25469188,25469655,25470037,25470628,25471131,25497966,25498422,25505590,25523122,25536863	nan	DNMT3A	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55252	ASXL2;NM_018263.6	2	-	25964887	26101101	25964887	26101101	12	25964887,25972554,25976392,25978876,25982340,25990441,25991600,25994298,26022243,26029087,26068339,26101024	25967355,25973292,25976518,25978993,25982524,25990605,25991747,25994419,26022414,26029219,26068442,26101101	nan	ASXL2	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0
1058	CENPA;NM_001809.4	2	+	27009054	27016157	27009054	27016157	4	27009054,27014988,27015613,27016002	27009174,27015118,27015711,27016157	nan	CENPA	nan	nan	0,0,0,0
238	ALK;NM_004304.5	2	-	29416079	30143535	29416079	30143535	29	29416079,29419625,29420397,29430026,29432641,29436839,29443561,29445199,29445372,29446197,29448316,29449777,29450429,29451739,29455159,29456420,29462535,29473960,29497954,29498257,29519743,29541159,29543606,29551205,29606587,29754770,29917705,29940433,30142848	29416798,29419736,29420552,29430148,29432754,29436957,29443711,29445284,29445483,29446404,29448441,29449950,29450548,29451942,29455324,29456572,29462706,29474143,29498103,29498372,29519933,29541280,29543758,29551357,29606735,29754992,29917890,29940573,30143535	nan	ALK	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27436	EML4;NM_019063.5	2	+	42396741	42557357	42396741	42557357	23	42396741,42472634,42483630,42488250,42490307,42491835,42507979,42509952,42511763,42513398,42515356,42522254,42522510,42528370,42530233,42530444,42531613,42543091,42544556,42552596,42553283,42556015,42556863	42396786,42472837,42483780,42488444,42490456,42491881,42508123,42510122,42511853,42513529,42515472,42522409,42522666,42528542,42530379,42530596,42531701,42543200,42544674,42552704,42553402,42556166,42557357	nan	EML4	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4072	EPCAM;NM_002354.3	2	+	47596634	47613762	47596634	47613762	9	47596634,47600591,47600936,47602362,47604142,47606081,47606897,47612294,47613700	47596730,47600719,47601197,47602448,47604226,47606203,47607118,47612359,47613762	nan	EPCAM	nan	nan	0,0,0,0,0,0,0,0,0
4436	MSH2;NM_000251.3	2	+	47630320	47710098	47630320	47710098	16	47630320,47635529,47637222,47639542,47641397,47643424,47656870,47672676,47690159,47693786,47698093,47702153,47703495,47705400,47707824,47709907	47630551,47635704,47637521,47639709,47641567,47643578,47657090,47672806,47690303,47693957,47698211,47702419,47703720,47705668,47708020,47710098	nan	MSH2	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2956	MSH6;NM_000179.3	2	+	48010362	48034009	48010362	48034009	10	48010362,48018055,48023022,48025739,48030548,48032038,48032746,48033332,48033580,48033907	48010642,48018272,48023212,48028304,48030834,48032176,48032856,48033507,48033800,48034009	nan	MSH6	nan	nan	0,0,0,0,0,0,0,0,0,0
55120	FANCL;NM_018062.4	2	-	58386889	58468458	58386889	58468458	14	58386889,58387232,58388646,58389990,58390153,58390558,58392848,58425718,58431254,58449066,58453852,58456938,58459178,58468342	58386945,58387324,58388783,58390092,58390219,58390662,58393019,58425807,58431371,58449187,58453929,58457019,58459257,58468458	nan	FANCL	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0
5966	REL;NM_001291746.2	2	+	61108965	61149680	61108965	61149680	10	61108965,61118807,61121521,61128116,61144001,61145315,61145518,61147165,61147698,61148887	61108995,61118970,61121690,61128228,61144162,61145440,61145751,61147254,61147787,61149680	nan	REL	nan	nan	0,0,0,0,0,0,0,0,0,0
7514	XPO1;NM_003400.4	2	-	61705944	61761042	61705944	61761042	24	61705944,61708309,61709504,61710081,61711061,61712892,61715289,61715712,61717766,61719159,61719449,61719691,61720039,61721018,61722579,61724003,61725797,61725989,61726837,61729120,61729373,61749735,61753544,61760896	61706111,61708426,61709684,61710236,61711250,61713107,61715416,61715916,61717921,61719343,61719626,61719893,61720198,61721236,61722758,61724152,61725937,61726058,61727039,61729185,61729455,61749828,61753666,61761042	nan	XPO1	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55654	TMEM127;NM_017849.4	2	-	96919535	96931129	96919535	96931129	3	96919535,96920560,96930865	96919863,96920745,96931129	nan	TMEM127	nan	nan	0,0,0
3631	INPP4A;NM_001134225.2	2	+	99136501	99204081	99136501	99204081	23	99136501,99137139,99149829,99152181,99152581,99154315,99155343,99155980,99160329,99162421,99163038,99169238,99170723,99172005,99175915,99179917,99181092,99182092,99182481,99185023,99189267,99193441,99203928	99136627,99137204,99149968,99152318,99152681,99154447,99155454,99156148,99160480,99162546,99163167,99169442,99170962,99172281,99175968,99180110,99181236,99182239,99182642,99185141,99189400,99193616,99204081	nan	INPP4A	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5903	RANBP2;NM_006267.5	2	+	109336052	109400367	109336052	109400367	29	109336052,109345577,109347219,109347767,109351977,109352549,109356934,109363156,109365365,109367709,109367973,109368316,109369443,109369871,109370270,109371350,109371621,109374858,109378546,109379682,109388146,109388934,109389313,109392177,109393575,109397714,109398573,109398973,109400041	109336144,109345665,109347351,109347940,109352228,109352715,109357147,109363264,109365595,109367911,109368169,109368460,109369625,109370029,109370437,109371550,109371725,109375014,109378661,109384854,109388337,109389047,109389512,109392402,109393697,109397895,109398867,109399328,109400367	nan	RANBP2	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10018	BCL2L11;NM_138621.5	2	+	111881312	111921818	111881312	111921818	3	111881312,111907610,111921699	111881726,111907734,111921818	nan	BCL2L11	nan	nan	0,0,0
7849	PAX8;NM_003466.4	2	-	113976099	114035981	113976099	114035981	11	113976099,113977658,113984721,113992960,113994167,113999117,113999574,114000256,114001993,114004320,114035936	113976196,113977765,113984843,113993169,113994308,113999313,113999717,114000365,114002211,114004506,114035981	nan	PAX8	nan	nan	0,0,0,0,0,0,0,0,0,0,0
2071	ERCC3;NM_000122.2	2	-	128015161	128051667	128015161	128051667	15	128015161,128016861,128018793,128028901,128030430,128036738,128038012,128044268,128046225,128046902,128047254,128047789,128050175,128051078,128051619	128015313,128017034,128018932,128029039,128030547,128036961,128038217,128044603,128046450,128047087,128047410,128047859,128050432,128051304,128051667	nan	ERCC3	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7852	CXCR4;NM_003467.3	2	-	136872428	136875640	136872428	136875640	2	136872428,136875605	136873492,136875640	nan	CXCR4	nan	nan	0,0
53353	LRP1B;NM_018557.3	2	-	140990744	142888308	140990744	142888308	91	140990744,140992344,140995710,140997000,141004644,141027800,141031982,141055366,141072493,141079521,141081451,141083320,141092011,141093173,141108355,141110511,141113900,141115537,141116379,141122219,141128268,141128737,141130566,141135738,141143451,141200062,141201888,141202121,141208126,141214013,141215021,141232696,141242901,141245175,141250166,141253123,141259245,141260521,141264354,141267486,141272211,141274447,141283402,141283795,141291579,141294139,141298531,141299337,141356189,141359008,141457808,141459279,141459699,141459985,141473531,141474240,141526771,141528439,141533656,141571215,141597549,141598476,141607660,141609210,141625148,141625657,141641375,141643696,141660478,141665435,141680523,141707793,141709418,141739718,141747090,141751553,141762893,141771114,141773254,141777480,141806544,141812674,141816441,141819609,141945979,141986741,142004784,142012080,142237954,142567837,142888206	140990905,140992463,140995875,140997111,141004741,141027925,141032177,141055548,141072678,141079667,141081645,141083457,141092138,141093417,141108617,141110651,141114055,141115695,141116525,141122362,141128421,141128864,141130716,141135865,141143588,141200202,141202028,141202258,141208240,141214182,141215230,141232916,141243103,141245318,141250272,141253327,141259453,141260682,141264497,141267635,141272351,141274590,141283572,141283929,141291719,141294288,141298677,141299550,141356414,141359218,141458200,141459424,141459871,141460132,141473681,141474395,141526923,141528585,141533817,141571385,141597664,141598671,141607908,141609362,141625413,141625842,141641600,141643914,141660744,141665656,141680726,141707981,141709519,141739855,141747236,141751714,141763036,141771324,141773494,141777681,141806801,141812838,141816633,141819852,141946162,141987019,142004933,142012220,142238112,142567980,142888308	nan	LRP1B	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90	ACVR1;NM_001111067.4	2	-	158594032	158656015	158594032	158656015	9	158594032,158594941,158617381,158622422,158626869,158630589,158634632,158636838,158655928	158594187,158595092,158617599,158622718,158627036,158630709,158634864,158637122,158656015	nan	ACVR1	nan	nan	0,0,0,0,0,0,0,0,0
5163	PDK1;NM_002610.5	2	+	173420868	173460707	173420868	173460707	11	173420868,173423425,173426937,173429220,173429695,173431573,173433458,173435443,173450995,173457652,173460546	173421084,173423587,173427029,173429425,173429811,173431671,173433555,173435562,173451126,173457786,173460707	nan	PDK1	nan	nan	0,0,0,0,0,0,0,0,0,0,0
4780	NFE2L2;NM_006164.5	2	-	178095502	178129314	178095502	178129314	5	178095502,178097109,178097967,178098722,178129249	178096746,178097321,178098077,178099009,178129314	nan	NFE2L2	nan	nan	0,0,0,0,0
5378	PMS1;NM_000534.5	2	+	190656525	190742172	190656525	190742172	12	190656525,190660484,190670367,190682732,190708679,190717370,190718654,190718954,190728458,190732514,190738211,190741987	190656677,190660687,190670490,190682916,190708816,190717513,190718818,190719864,190728964,190732665,190738392,190742172	nan	PMS1	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0
