BRCA2_3UTR,chr13:32974296-32974415,,,
BRIP1_3UTR,chr17:59756490-59756609,,,
MLH1_3UTR,chr3:37092207-37092367,,,
MSH2_EPCAM_1,chr2:47616487-47616586,,,
MSH2_EPCAM_2,chr2:47617980-47618099,,,
MSH2_EPCAM_3,chr2:47622819-47622918,,,
MSH2_EPCAM_4,chr2:47625850-47625969,,,
MSH2_3UTR,chr2:47710128-47710288,,,
MSH6_3UTR,chr2:48034020-48034180,,,
PALB2_3UTR,chr16:23614580-23614699,,,
PTEN_3UTR,chr10:89731578-89731697,,,
STK11_3UTR,chr19:1228320-1228439,,,
